route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
319,regular,BN,Brixton Hill,Arriva,DD,Sloane Square,"Streatham Hill, Telford Avenue",Cadogan Gardens / Sloane Square,Telford Avenue,Sloane Square,"Streatham Hill, Telford Avenue",,5.5,6.0,6.5,0.0,4.5,11.919,7.406
320,regular,MB,Orpington,Go-Ahead,DD,Catford Bridge,Biggin Hill Valley,Catford Bridge Station,,Catford Bridge,Biggin Hill Valley,,4.5,4.5,4.5,0.0,3.0,19.917,12.376
321,twentyfour,NX,New Cross,Go-Ahead,DD,New Cross Gate,"Foots Cray, Tesco",New Cross Sainsbury's,,"New Cross Gate, New Cross Sainsbury's","Foots Cray, Tesco",,5.0,5.0,5.0,2.5,5.0,16.198,10.065
322,regular,SM,Sydenham,Go-Ahead,SD,Clapham Common,Crystal Palace,The Pavement,Crystal Palace Parade,"Clapham Common, The Pavement",Crystal Palace,,4.5,4.0,4.0,0.0,4.0,10.661,6.624
323,regular,WH,West Ham,Stagecoach London,SD,Mile End,Canning Town,Mile End Station,Barking Road / Manor Road,Mile End,"Canning Town, Barking Road / Manor Road",,3.0,3.0,3.0,0.0,3.0,5.411,3.362
324,regular,W,Cricklewood,Metroline,SD,"Brent Cross, Tesco","Elstree, Centennial Park",Tesco Brent Cross,Centennial Park,"Brent Cross, Tesco, Tesco Brent Cross","Elstree, Centennial Park",,3.0,3.0,3.0,0.0,3.0,17.203,10.69
325,regular,RR,River Road,Go-Ahead,SD,Prince Regent,"East Beckton, Sainsbury's",Prince Regent Bus Station,,Prince Regent,"East Beckton, Sainsbury's",,5.0,5.0,5.0,0.0,3.0,12.931,8.035
326,regular,BT,Edgware,First,SD,"Brent Cross, Shopping Centre","Barnet, The Spires",,The Spires,"Brent Cross, Shopping Centre","Barnet, The Spires",,5.0,5.0,5.0,0.0,4.0,17.868,11.103
327,regular,PB,Potters Bar,Metroline,SD,Elsinge Estate,Waltham Cross,,Waltham Cross Bus Station,Elsinge Estate,Waltham Cross,,1.5,1.5,1.5,0.0,1.5,2.992,1.859
328,regular,W,Cricklewood,Metroline,DD,Limerston Street,Golders Green,,Golders Green Station,Limerston Street,Golders Green,,6.5,6.0,6.0,0.0,5.0,12.91,8.022
329,regular,WN,Wood Green,Arriva,DD,Wood Green,Enfield,Turnpike Lane Station,Little Park Gardens,"Wood Green, Turnpike Lane Station","Enfield, Little Park Gardens",,,,,,0.0,8.886,5.522
330,regular,DS,Henley Road,Go-Ahead,DD,Pontoon Dock,Wanstead Park Station,Thames Barrier,,"Pontoon Dock, Thames Barrier",Wanstead Park Station,,5.0,5.0,5.0,0.0,3.0,8.429,5.238
331,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Uxbridge,Ruislip,Belmont Road,Ruislip Station,"Uxbridge, Belmont Road",Ruislip,,3.0,3.0,3.0,0.0,2.0,21.807,13.55
333,regular,SW,Stockwell,Go-Ahead,DD,Elephant & Castle,Tooting Broadway,Elephant & Castle / Newington Causeway,Tooting Broadway Station,Elephant & Castle,Tooting Broadway,,5.5,5.0,5.0,0.0,5.0,11.673,7.254
335,regular,DT,Dartford,Arriva,DD,North Greenwich,Kidbrooke,North Greenwich Station,Wingfield School,North Greenwich,"Kidbrooke, Wingfield School",,5.0,5.0,5.0,0.0,4.0,8.468,5.262
336,regular,TB,Bromley,Stagecoach London,SD,Locksbottom,Catford Bridge,Locksbottom / Pallant Way,Catford Bridge Station,Locksbottom,Catford Bridge,,4.5,4.0,4.0,0.0,3.0,16.43,10.209
337,regular,QB,Battersea,Transport UK,DD,Richmond,Clapham Junction,Richmond Bus Station,Bolingbroke Grove,Richmond,"Clapham Junction, Bolingbroke Grove",,5.0,4.5,4.5,0.0,4.5,11.009,6.84
339,regular,HO,Lea Interchange,Stagecoach London,SD,Shadwell,Leytonstone,Shadwell Station,Leytonstone Station / Grove Green Road,Shadwell,Leytonstone,,3.5,4.0,3.5,0.0,3.0,13.521,8.401
340,regular,BT,Edgware,First,DD,Harrow,Edgware,Harrow Bus Station,Edgware Station,Harrow,Edgware,,5.0,5.0,5.0,0.0,4.0,9.797,6.087
341,twentyfour,AR,Tottenham,Arriva,DD,Waterloo,Northumberland Park,Waterloo Station / Waterloo Road,,Waterloo,Northumberland Park,,4.5,5.0,5.0,3.0,5.0,17.199,10.687
343,regular,NX,New Cross,Go-Ahead,DD,New Cross,Tower Gateway,New Cross / Jerningham Road,Tower Gateway Station,New Cross,Tower Gateway,,8.0,7.5,7.5,0.0,5.0,13.237,8.225
344,twentyfour,QB,Battersea,Transport UK,DD,Liverpool Street,Clapham Junction,Liverpool Street Station,Clapham Junction Station,Liverpool Street,Clapham Junction,,6.0,6.5,6.5,3.5,6.5,11.451,7.116
345,twentyfour,QB,Battersea,Transport UK,DD,South Kensington,Peckham,Natural History Museum / Cromwell Road,Peckham Bus Station,"South Kensington, Natural History Museum / Cromwell Road",Peckham,,7.0,6.5,6.5,2.0,5.0,14.517,9.021
346,regular,RM,Rainham,Stagecoach London,SD,Upminster Park Estate,"Harold Hill, Dagnam Park Square",Lexington Way,Dagnam Park Square,"Upminster Park Estate, Lexington Way","Harold Hill, Dagnam Park Square",,2.5,3.0,3.0,0.0,3.0,16.228,10.083
349,regular,AR,Tottenham,Arriva,DD,Stamford Hill,Glyn Road,Rookwood Road,,"Stamford Hill, Rookwood Road",Glyn Road,,6.0,6.0,6.0,0.0,5.0,9.369,5.822
350,regular,DH,Hayes,Transport UK,SD,Heathrow Terminal 5,Fairey Corner,,,Heathrow Terminal 5,Fairey Corner,,3.0,3.0,3.0,0.0,3.0,13.199,8.202
352,regular,SM,Sydenham,Go-Ahead,SD,Lower Sydenham,Bromley North,Bell Green / Sainsbury's,Bromley North Station,"Lower Sydenham, Bell Green / Sainsbury's",Bromley North,,3.0,3.0,3.0,0.0,2.0,13.8,8.575
353,regular,MB,Orpington,Go-Ahead,DD,Forestdale,Ramsden Estate,Markfield,Ramsden Estate / Rye Crescent,"Forestdale, Markfield",Ramsden Estate,,3.5,3.0,3.0,0.0,2.0,16.854,10.473
354,regular,SM,Sydenham,Go-Ahead,SD,Bromley North,Penge,Bromley North Station,High Street / Maple Road,Bromley North,"Penge, High Street / Maple Road",,3.0,3.0,3.0,0.0,2.5,10.97,6.817
355,regular,Q,Camberwell,Go-Ahead,SD,Brixton,Mitcham,Brixton Station,Madeira Road,Brixton,"Mitcham, Madeira Road",,5.0,5.0,5.0,0.0,4.0,10.895,6.77
356,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Shirley,Upper Sydenham,Wickham Road,Sydenham Hill / Kirkdale,"Shirley, Wickham Road","Upper Sydenham, Sydenham Hill / Kirkdale",,3.0,3.0,3.0,0.0,2.0,16.02,9.955
357,regular,NP,Northumberland Park,Go-Ahead,DD,Whipps Cross,Chingford Hatch,Whipps Cross Bus Stand,Hatch Lane,Whipps Cross,"Chingford Hatch, Hatch Lane",,2.0,2.0,2.0,0.0,2.0,9.163,5.694
358,regular,MB,Orpington,Go-Ahead,SD,Crystal Palace,Orpington Station,Crystal Palace Parade,,Crystal Palace,Orpington Station,,5.0,5.0,5.0,0.0,3.0,24.964,15.512
359,regular,C,Croydon,Go-Ahead,SD,Addington Village,Purley,Addington Village Interchange,Purley High Street,Addington Village,Purley,,1.5,1.5,1.5,0.0,1.5,10.311,6.407
360,regular,Q,Camberwell,Go-Ahead,SD,Royal Albert Hall,Elephant & Castle,Prince Consort Road / Imperial College,Elephant & Castle / Newington Causeway,"Royal Albert Hall, Prince Consort Road / Imperial College",Elephant & Castle,,5.0,4.5,5.0,0.0,4.5,9.938,6.175
362,regular,BK,Barking,Stagecoach London,SD,King George Hospital,Grange Hill,,Manor Road / Grange Hill Station,King George Hospital,Grange Hill,,1.5,1.5,2.0,0.0,2.0,12.474,7.751
363,regular,WL,Walworth,Transport UK,DD,Elephant & Castle,Crystal Palace,Lambeth Road,Crystal Palace Parade,"Elephant & Castle, Lambeth Road",Crystal Palace,,6.5,6.0,6.0,0.0,5.0,11.533,7.166
364,regular,RR,River Road,Go-Ahead,SD,Dagenham East,Ilford,Ballards Road,Hainault Street,"Dagenham East, Ballards Road","Ilford, Hainault Street",,4.5,5.0,5.0,0.0,4.0,12.462,7.744
365,twentyfour,NS; RM,Rainham; Romford,Stagecoach London,DD,Havering Park,"Beam Park, New Road",,South Street,Havering Park,"Beam Park, New Road, South Street",,5.0,5.0,5.0,2.0,3.0,15.521,9.644
366,regular,RR,River Road,Go-Ahead,SD,Beckton Station,Redbridge,Beckton Bus Station,Falmouth Gardens,"Beckton Station, Beckton Bus Station","Redbridge, Falmouth Gardens",,6.5,6.0,6.0,0.0,4.0,20.081,12.478
367,regular,BC,Beddington,Transport UK,SD,Bromley North,West Croydon,Bromley North Station,Delta Point / West Croydon Station,Bromley North,West Croydon,,3.0,3.0,3.0,0.0,2.0,19.427,12.071
368,regular,RR,River Road,Go-Ahead,DD,"Barking, Harts Lane",Chadwell Heath,Harts Lane Estate,Wangey Road,"Barking, Harts Lane, Harts Lane Estate","Chadwell Heath, Wangey Road",,5.0,5.0,5.0,0.0,3.0,9.939,6.176
370,regular,GY,Grays,Arriva,DD,Lakeside,"Romford, Mercury Gardens",Lakeside Bus Station,Mercury Gardens,Lakeside,"Romford, Mercury Gardens",,5.5,5.0,5.0,0.0,4.0,20.314,12.622
371,regular,FW,Fulwell,First,SD,Kingston,"Richmond, Manor Circus",Kingston Hall Road,Manor Road / Sainsbury's,Kingston,"Richmond, Manor Circus, Manor Road / Sainsbury's",,5.0,5.0,5.0,0.0,5.0,12.821,7.967
372,regular,RM,Rainham,Stagecoach London,DD,Lakeside,"Hornchurch, Town Centre",Lakeside Bus Station,,Lakeside,"Hornchurch, Town Centre",,3.0,3.0,3.0,0.0,2.0,18.456,11.468
375,regular,GY,Grays,Arriva,SD,Passingford Bridge,Romford Station,,,Passingford Bridge,Romford Station,,0.5,1.0,0.5,0.0,0.5,12.18,7.568
376,regular,DS,Henley Road,Go-Ahead,SD,"East Ham, Newham Town Hall",Beckton Station,Newham Town Hall,Beckton Bus Station,"East Ham, Newham Town Hall","Beckton Station, Beckton Bus Station",,5.0,5.0,5.0,0.0,2.0,10.126,6.292
377,regular,E,Enfield,Arriva,SD,Oakwood,Glyn Road,Oakwood Station,,Oakwood,Glyn Road,,2.0,2.0,2.0,0.0,2.0,9.689,6.02
378,regular,SW,Stockwell,Go-Ahead,SD,Putney Bridge,Mortlake,Putney Bridge Stn / Gonville Street,Mortlake Bus Station,Putney Bridge,Mortlake,,4.0,4.0,4.0,0.0,4.0,4.529,2.814
379,regular,AW,Walthamstow Avenue,Stagecoach London,SD,Yardley Lane,Chingford Station,Yardley Lane Estate,,Yardley Lane,Chingford Station,,3.0,3.0,4.0,0.0,2.0,3.623,2.251
380,regular,PD,Plumstead,Stagecoach London,SD,Molesworth Street,Belmarsh,,Belmarsh Prison / Woolwich Crown Court,Molesworth Street,Belmarsh,,5.0,5.5,5.0,0.0,4.0,14.858,9.233
381,regular,WL,Walworth,Transport UK,DD,Waterloo,Peckham,County Hall,Peckham Bus Station,"Waterloo, County Hall",Peckham,,5.0,5.0,5.0,0.0,4.5,14.457,8.983
382,regular,PB,Potters Bar,Metroline,SD,"Mill Hill East, Millbrook Park",Southgate,Millbrook Park,Southgate Station,"Mill Hill East, Millbrook Park",Southgate,,4.0,4.0,4.0,0.0,2.0,14.01,8.705
