stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
490013091C,Ickenham Station,51.564060,-0.443620,,true,3,9,80,0.001032,6480,67,0.021179,12386,35
490013095N,Swallowfield Way,51.507590,-0.432060,,true,2,10,36,0.000202,14404,25,0.026245,544,97
490013095S,Swallowfield Way,51.507760,-0.431700,,true,2,10,36,0.000801,7684,60,0.026206,588,97
490013096W,Cromwell Hospital,51.494620,-0.190150,,true,2,10,36,0.000131,15931,18,0.021296,12027,37
490013097E,Swallow Street,51.516230,0.053350,,true,2,10,36,0.001803,4231,78,0.023187,5586,71
490013097W,Swallow Street,51.516050,0.052430,,true,2,10,36,0.006194,1141,94,0.023249,5373,72
490013098N,Swaminarayan Temple,51.547600,-0.260260,,true,2,10,36,0.000275,13035,33,0.021629,10920,43
490013098S,Swaminarayan Temple,51.547300,-0.259960,,true,2,10,36,0.004220,1764,91,0.022365,8237,57
490013099N,Finchley Park,51.621030,-0.176810,,true,2,10,36,0.001703,4460,77,0.024152,3117,84
490013099S,Finchley Park,51.620250,-0.176520,,true,2,10,36,0.013180,449,98,0.025083,1511,92
490013100E2,Swan & Sugar Loaf,51.362170,-0.098930,,false,,,,,,,,,
490013100G,Swan & Sugar Loaf,51.363230,-0.098540,,true,4,8,93,0.016566,398,98,0.025594,997,95
490013100H,Swan and Sugar Loaf,51.363410,-0.098520,,true,2,10,36,0.000134,15857,18,0.024999,1639,92
490013100J,Swan & Sugar Loaf,51.363050,-0.098240,,true,2,10,36,0.002412,3201,84,0.024385,2639,86
490013100K,Warham Road / Brighton Road,51.363520,-0.099840,,true,2,10,36,0.001554,4811,76,0.024417,2559,87
490013100L,Warham Road / Brighton Road,51.363540,-0.099340,,true,2,10,36,0.000829,7528,61,0.024379,2653,86
490013102N,Swanage Road,51.602400,-0.003330,,true,2,10,36,0.000201,14418,25,0.021480,11417,40
490013102S,Swanage Road,51.602780,-0.003010,,true,2,10,36,0.000229,13859,28,0.021344,11874,38
490013103E,Swan Close,51.433290,-0.386310,,true,2,10,36,0.000172,15048,22,0.018839,16541,13
490013103W,Swan Close,51.433040,-0.386440,,true,2,10,36,0.000045,17874,7,0.018553,16807,12
490013104N,Swan Lane,51.626060,-0.175920,,true,2,10,36,0.001513,4902,75,0.023104,5844,69
490013110N,Green Lane,51.431290,-0.391090,,true,3,9,80,0.000297,12680,34,0.018985,16392,14
490013110S,Green Lane,51.430560,-0.390140,,true,3,9,80,0.000370,11581,40,0.019196,16182,15
490013111N,Swan Road,51.505610,-0.474990,,true,2,10,36,0.000259,13323,31,0.022777,6845,64
490013111S,Swan Road,51.505130,-0.475140,,true,2,10,36,0.000300,12649,35,0.022686,7184,62
490013112S,Sweeps Lane,51.391110,0.121610,,false,,,,,,,,,
490013112W,Sweeps Lane,51.391440,0.119960,,true,4,8,93,0.000274,13064,33,0.019618,15665,18
490013113E,Sweetcroft Lane,51.548910,-0.459220,,true,2,10,36,0.000007,18670,3,0.021096,12618,34
490013113W,Sweetcroft Lane,51.549380,-0.458470,,true,2,10,36,0.000004,18728,3,0.021311,11975,37
